artist_name,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,time_signature
Fenix TX,Phoebe Cates,36,0.234,0.978,7,-3.724,1,0.269,0.000078,0.00000306,0.361,0.305,190.446,220.267,4
For Tracy Hyde,Just Like Fireflies,30,0.342,0.875,2,-3.623,1,0.0789,0.000112,0.555,0.103,0.46,149.139,160.262,4
Backstreet Boys,You Can Let Go,31,0.521,0.72,11,-3.418,1,0.0301,0.0617,,0.154,0.454,73.002,0.003548883333,4
KennyHoopla,how will i rest in peace if i'm buried by a highway?//,63,0.479,0.844,1,-4.338,0,0.0819,0.0134,0.00000391,0.195,0.49,159.852,218.533,4
Oxbow,Untitled,12,0.408,0.56,9,-6.451,0,0.164,0.173,0.0000213,0.129,0.394,131.507,370.133,3
Mito,Replace,28,0.661,0.437,,-9.972,1,0.041,0.331,0.4,0.134,0.346,84.006,139.5,4
Arlo Parks,Caroline,60,0.596,0.576,10,-7.955,1,0.0388,0.376,0.0904,0.107,0.485,160.176,216.933,4
Dead Quiet,Of Sound and Fury,24,0.262,0.925,,-7.136,1,0.0721,0.00305,0.0151,0.075,0.374,84.963,365.684,4
Santana,"Evil Ways - Live at The Woodstock Music & Art Fair, August 16, 1969",32,0.587,0.672,7,-11.698,1,0.0445,0.0226,0.0935,0.503,0.913,127.48,240.64,4
Lata Mangeshkar,Panchhi Banoon Udti Phiroon,11,0.359,0.61,2,-8.359,1,0.0692,0.799,0.0000215,0.491,0.91,171.854,0.004551783333,3
Nirvana,Smells Like Teen Spirit,82,0.502,0.912,1,-4.556,1,0.0564,0.0000255,0.000173,0.106,0.72,116.761,301.92,4
Death Valley Girls,Street Justice,25,0.324,0.948,9,-4.609,1,0.0522,0.00000885,0.561,0.165,0.342,90.542,160.587,4
Foghat,Slow Ride,67,0.493,0.586,2,-13.916,1,0.046,0.0202,0.00106,0.102,0.656,113.618,232.533,4
Magnus Karlsson‚Äôs Free Fall,Temples And Towers,28,0.273,0.955,7,-5.624,0,0.105,0.0000233,0.000818,0.334,0.198,199.948,337.147,4
Rick Estrin & The Nightcats,Callin' All Fools,13,0.692,0.623,,-8.13,0,0.0361,0.15,0.00000427,0.316,0.601,114.627,313.68,4
Céline Dion,I'm Alive - Live,32,0.608,0.773,8,-7.074,1,0.0792,0.126,,0.99,0.435,101.99,0.004281116667,4
Taylor Swift,The Man,77,0.777,0.658,,-5.191,1,0.054,0.0767,,0.0901,0.633,110.048,190.36,4
Moshe Peretz,◊ê◊©,34,0.567,0.911,3,-4.913,0,0.038,0.0972,,0.0914,0.903,160.037,238.333,4
Sl√∏tface,Tap the pack,23,0.401,0.822,9,-7.091,1,0.122,0.000147,0.0011,0.0713,0.674,174.966,146.52,4
Eliad,◊ê◊†◊ô ◊¢◊£,21,0.698,0.39,7,-7.253,0,0.03,0.0278,,0.156,0.663,146.019,208.015,4
Adrenaline Mob,Crystal Clear,36,0.509,0.935,7,-4.159,0,0.0434,0.0317,,0.101,0.627,171.967,303.453,4
Tim Atlas,Compromised,47,0.957,0.425,11,-8.002,0,0.0538,0.164,0.00665,0.0656,0.961,108.971,226.235,4
"Luther ""Snake Boy"" Johnson",They call me the snake,30,0.6,0.319,4,-12.587,1,0.143,0.739,0.102,0.289,0.41,137.954,337.6,3
Trick or Treat,Hungarian Hangover,33,0.489,0.93,5,-4.834,1,0.11,0.00178,,0.338,0.401,95.083,232.067,4
Bad Waitress,That Sedative,35,0.175,0.857,9,-4.325,0,0.0416,0.0000055,0.839,0.353,0.43,170.136,141.404,4
Imagine Dragons,Next To Me,70,0.301,0.672,2,-4.497,1,0.0623,0.28,0.000031,0.0609,0.384,169.497,230.289,3
Bully,Where to Start,44,0.341,0.875,9,-4.581,1,0.0406,0.0000232,0.126,0.135,0.477,78.948,180.601,4
The Doors,Roadhouse Blues,71,0.623,0.633,9,-8.212,1,0.0304,0.336,0.000046,0.147,0.895,121.119,243.827,4
Beach Bunny,Blame Game,56,0.364,0.719,7,-5.567,1,0.0439,0.0551,0.00000315,0.0824,0.352,97.5,214.924,4
Ron Gallo,"Young Lady, You're Scaring Me",59,0.371,0.921,9,-5.533,1,0.0784,0.0113,0.000027,0.43,0.508,109.675,220.538,4
Light The Torch,Wilting in the Light,53,0.393,0.874,7,-5.566,1,0.0582,0.0000311,0.0265,0.12,0.378,155.013,228.738,4
Korn,Rotting In Vain,49,0.498,0.946,2,-4.793,1,0.0602,0.000121,0.0000256,0.359,0.31,106.275,213,4
Suicidal Tendencies,You Can't Bring Me Down,55,0.281,0.958,4,-10.798,0,0.375,0.00195,0.0000469,0.0915,0.0381,136.851,348.093,4
Sirenia,Voyage Voyage,48,0.527,0.941,1,-5.224,1,0.0513,0.00102,0.0166,0.205,0.62,125.994,258.564,4
The Police,Roxanne - Remastered 2003,4,0.615,0.752,,-8.91,1,0.391,0.0397,0.00000137,0.0479,0.66,133.977,191.507,4
U2,With Or Without You - Remastered,79,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,295.516,4
Public Enemy,Rebel Without A Pause,50,0.755,0.692,7,-13.906,1,0.346,0.0127,,0.69,0.651,99.771,302.8,4
Yehudit Ravitz,◊™◊ê◊® ◊ú◊ö (◊ñ◊õ◊®◊ï◊†◊ï◊™ ◊ó◊û◊ô◊ù),23,0.644,0.575,7,-5.748,1,0.0295,0.702,,0.111,0.163,115.998,208.8,4
Post-Party,Wasting Time,39,0.459,0.747,3,-5.439,1,0.0309,0.000956,0.000146,0.104,0.673,89.974,167.556,4
Thursday,Standing on the Edge of Summer,43,0.236,0.846,2,-4.534,1,0.0482,0.00011,0.000334,0.0985,0.372,168.702,222.04,4
Queen,Another One Bites The Dust - Remastered 2011,82,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,214.653,4
La Femme,Cool Colorado,54,0.505,0.762,9,-7.15,1,0.0454,0.0415,0.0000612,0.117,0.477,81.454,232.48,4
Dry Cleaning,Strong Feelings,52,0.748,0.467,11,-9.253,0,0.0365,0.0208,0.876,0.0656,0.96,130.047,244.533,4
Nessa Barrett,la di die (feat. jxdn),80,0.484,0.643,1,-4.72,1,0.0416,0.0036,,0.243,0.345,163.97,195.191,4
Robben Ford,Cotton Candy,17,0.843,0.631,5,-6.176,0,0.0548,0.0401,0.00328,0.125,0.894,125.024,235.392,4
Soulja Boy,She Make It Clap,74,0.941,0.471,1,-13.087,1,0.494,0.0308,0.00838,0.0837,0.487,119.898,111.55,4
Jeff Jensen,Fall Apart,27,0.765,0.312,7,-9.578,1,0.0374,0.533,0.017,0.12,0.277,121.957,267.358,4
Britney Spears,Circus,75,0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,0.003206,4
Skillet,Feel Invincible,73,0.603,0.886,5,-3.777,0,0.0837,0.00045,,0.26,0.395,126.025,229.933,4
Dua Lipa,Fever,78,0.868,0.693,6,-7.052,0,0.181,0.0597,0.00399,0.106,0.396,114.999,156.911,4
The Beatles,I Am The Walrus - Remastered 2009,63,0.401,0.556,2,-10.532,1,0.0513,0.0828,0.000359,0.589,0.654,85.206,275.867,4
Lola Flores,A Tu Vera,44,0.431,0.381,7,-9.818,1,0.0369,0.643,,0.124,0.57,113.331,208.667,4
Unearth,Zombie Autopilot,41,0.258,0.918,11,-5.972,0,0.0701,0.0000082,0.627,0.413,0.253,93.727,249.853,4
Yehudit Ravitz,Hakol Beseder - Omri Smadar Remix,35,0.679,0.948,9,-6.095,1,0.0432,0.0355,0.0409,0.0719,0.906,122.988,261.132,4
Castaways,"Liar, Liar",40,0.525,0.623,7,-6.253,0,0.0291,0.247,0.742,0.148,0.839,144.583,115.925,4
Jonas Brothers,Remember This,72,0.669,0.629,1,-5.018,0,0.0803,0.217,,0.366,0.294,110.865,0.00297036667,4
Mr. Oizo,Gay Dentists,25,0.736,0.97,1,-4.955,1,0.128,0.000228,0.0104,0.148,0.703,128.59,218.493,4
Ravid Plotnik,◊û◊ú◊ö ◊î◊®◊ê◊§ ◊©◊ú ◊î◊û◊ñ◊®◊ó ◊î◊™◊ô◊õ◊ï◊ü (◊†◊¶'◊ô ◊†◊¶'),37,0.634,0.739,3,-6.08,1,0.433,0.141,,0.82,0.761,146.296,289.213,4
Pageants,Cacti For Clothes,41,0.6,0.779,,-8.143,1,0.0326,0.353,0.158,0.104,0.595,119.053,182.907,4
Celestial Teapot,Change Is Constant,16,0.381,0.404,7,-12.227,1,0.0324,0.314,0.916,0.112,0.0739,108.029,404.696,4
yes/and,Ugly Orange,16,0.556,0.234,2,-16.707,1,0.0457,0.982,0.91,0.0844,0.395,108.8,259.725,3
Eyal Golan,◊¢◊ï◊©◊î ◊¢◊ù ◊î◊¢◊ô◊†◊ô◊ô◊ù,36,0.648,0.444,5,-8.598,1,0.0373,0.738,,0.132,0.288,90.958,177.033,4
Sam Ezeh,Sapphire Alley,47,0.675,0.622,10,-6.251,1,0.0234,0.247,0.45,0.107,0.662,108.002,202.778,4
Albert Collins,T-Bone Shuffle,51,0.537,0.695,11,-9.88,1,0.0377,0.00393,0.188,0.084,0.77,131.307,295.693,4
Popa Chubby,Sweet Goddess of Love and Beer,33,0.683,0.684,9,-7.296,1,0.0515,0.257,0.000341,0.135,0.854,110.426,279.64,4
T. Rex,Cosmic Dancer,58,0.363,0.803,,-8.089,1,0.06,0.0117,0.00601,0.189,0.718,156.047,266.533,4
Miri Mesika,◊û◊ú◊ö,28,0.456,0.608,,-5.562,1,0.0437,0.304,,0.0833,0.296,81.498,196.663,4
Zuli Jr.,Two,33,0.643,0.467,2,-5.503,1,0.0332,0.248,0.00000386,0.105,0.784,171.937,206.693,3
Harish Sivaramakrishnan,Malhar Jam,32,0.448,0.686,2,-7.411,1,0.0406,0.146,0.0000138,0.107,0.228,123.641,0.006145783333,4
Talia Goddess,Never Wanna Fall,31,0.467,0.51,6,-10.471,1,0.103,0.16,0.000275,0.136,0.557,100.832,281.538,3
Sila Lua,La Mano,31,0.519,0.366,8,-14.319,1,0.0497,0.598,,0.117,0.372,79.789,191.748,4
Marmozets,Play,39,0.38,0.982,,-3.287,1,0.15,0.000266,0.000309,0.366,0.168,161.095,204.933,4
Lonnie Brooks,Greasy Man,20,0.723,0.354,5,-15.958,1,0.0382,0.55,0.339,0.115,0.842,81.47,356.773,4
Blu DeTiger,Toast with the Butter,48,0.652,0.702,,-5.791,1,0.184,0.514,0.0014,0.358,0.623,151.989,206.147,4
Jon Batiste,CRY,52,0.738,0.507,9,-6.991,0,0.0272,0.229,0.00151,0.0724,0.7,80.015,237.244,4
Aisha Badru,Mind on Fire,49,0.345,0.132,7,-13.633,1,0.052,0.865,0.0144,0.114,0.0414,208.648,194.32,4
Bombino,Iyat Ninhay / Jaguar (A Great Desert I Saw),40,0.215,0.832,11,-6.76,0,0.0504,0.000958,0.272,0.519,0.668,78.063,367.185,4
The Avalanches,The Divine Chord,62,0.557,0.863,,-5.321,0,0.0391,0.104,,0.697,0.373,105.362,187.587,4
Omer Adam,◊ß◊ï◊ß◊ï◊®◊ô◊ß◊ï,51,0.787,0.497,10,-7.728,0,0.0396,0.56,,0.304,0.504,111.991,171,4
Cake,War Pigs,57,0.581,0.566,5,-8.169,0,0.0357,0.00698,0.00000293,0.0968,0.449,83.904,234.013,4
BENEE,If I Get To Meet You,,0.68,0.683,2,-7.098,1,0.0634,0.499,0.0607,0.0786,0.807,157.08,182.336,4
GRAZER,Nostalgia Seed,35,0.46,0.853,11,-9.045,1,0.0385,0.118,0.808,0.194,0.578,159.026,181.321,4
Busta Rhymes,True Indeed,42,0.417,0.945,2,-2.639,1,0.357,0.000367,,0.249,0.805,177.645,113.12,4
Dolly Ave,Waiting for You,21,0.161,0.261,3,-10.281,1,0.0305,0.925,0.0106,0.184,0.085,66.909,204.743,3
Queensr√øche,Empire - Remastered 2003,49,0.315,0.895,2,-4.519,1,0.0924,0.00216,0.0000132,0.0596,0.432,79.628,324.067,4
Lewis Del Mar,Painting (Masterpiece),56,0.726,0.861,6,-5.167,1,0.0695,0.277,0.00000412,0.0534,0.711,91.966,243.413,4
Elizabeth,parties,37,0.336,0.543,2,-8.483,0,0.0544,0.171,0.00000424,0.0661,0.258,136.92,208.553,4
The Velvet Underground,Sweet Jane,63,0.619,0.637,2,-7.369,1,0.0286,0.015,,0.374,0.936,105.205,246.307,4
Tyla Yaweh,Stuntin' On You (feat. DDG & Dame D.O.L.L.A.) - Remix,61,0.816,0.669,8,-5.943,1,0.3,0.00928,0.00000177,0.124,0.774,173.936,183.141,4
Fangclub,Vulture Culture,45,0.293,0.917,9,-6.104,1,0.074,0.0000128,0.238,0.435,0.504,180.146,199.077,4
JDM Global,Cake,20,0.727,0.801,10,-6.562,1,0.0307,0.251,0.817,0.0838,0.928,121.032,167.603,4
Black Peaks,Electric Fires,27,0.31,0.989,7,-3.876,1,0.104,0.000607,0.000769,0.328,0.146,181.958,201.718,3
The Wrecks,Fvck Somebody,54,0.533,0.661,6,-5.196,0,0.0418,0.0239,0.00000245,0.347,0.603,142.079,181.013,4
MISSIO,Middle Fingers,50,0.517,0.553,1,-5.135,1,0.0329,0.000104,0.0000037,0.133,0.0775,139.26,215.2,4
DaVido,Jowo,63,0.552,0.656,10,-4.941,1,0.204,0.706,0.0000125,0.0744,0.804,67.379,176.471,3
Half Me,Exitwound,32,0.483,0.974,8,-2.832,1,0.159,0.000114,,0.966,0.327,93.455,209.197,4
The Flaming Lips,"Yoshimi Battles the Pink Robots, Pt. 1",61,0.555,0.902,,-7.918,1,0.0958,0.337,,0.152,0.62,156.108,287.507,4
Snow Patrol,Chasing Cars,70,0.56,0.595,9,-4.53,1,0.0274,0.199,0.0000647,0.132,0.144,104.011,267.96,4
Yot Club,YKWIM?,75,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,212.75,3
Nickelback,Rockstar,70,0.616,0.91,,-3.004,1,0.0386,0.0459,,0.343,0.693,144.072,252.04,4
Blondie,Rapture,46,0.722,0.7,11,-8.241,0,0.05,0.111,0.00318,0.545,0.946,107.505,299.293,4
Michael Burks,Thank God For Fools,10,0.671,0.86,7,-5.381,1,0.0339,0.033,0.001,0.342,0.765,113.028,254,4
George Thorogood,I Got My Eyes On You,41,0.405,0.905,2,-2.572,1,0.0327,0.0000543,0.0501,0.235,0.705,157.228,214.067,4
Courting,Crass,35,0.434,0.837,6,-6.69,1,0.149,0.00598,,0.0895,0.843,131.906,173.76,4
Peter Netz,Come Join Me For A Coffee,24,0.667,0.103,9,-16.431,1,0.0654,0.973,0.943,0.0915,0.364,61.758,0.003073516667,4
The Who,Love Ain't For Keeping,44,0.554,0.818,2,-6.864,1,0.0362,0.0779,0.0106,0.341,0.512,142.339,130.72,4
Public Image Ltd.,Rise,52,0.533,0.739,7,-9.361,1,0.0561,0.00299,0.00000369,0.475,0.636,86.345,378.373,4
Grindpad,The Knife Is Sharper Than Ever,17,0.211,0.983,,-3.79,1,0.187,0.00000651,0.0116,0.127,0.263,171.662,305.16,4
Citizen,I Want to Kill You,50,0.584,0.876,10,-3.635,0,0.0652,0.00698,0.0002,0.0895,0.703,149.976,192.107,4
Of Mice & Men,Timeless,52,0.529,0.944,8,-7.203,1,0.0881,0.0000805,0.0389,0.104,0.133,115.002,246.5,4
Muddy Waters,Dealin' With the Devil,36,0.365,0.713,2,-6.984,1,0.114,0.597,0.0000207,0.971,0.324,82.434,470.413,4
Black Rebel Motorcycle Club,Spread Your Love,61,0.415,0.901,2,-3.124,1,0.0428,0.00987,0.361,0.136,0.424,128.216,225.333,4
Eliad,◊û◊ô◊ê◊û◊ô,36,0.652,0.718,4,-6.123,0,0.0434,0.0509,0.00000132,0.105,0.595,172.1,217.24,4
Silverstein,Madness,44,0.385,0.922,5,-4.705,0,0.107,0.000131,,0.246,0.501,170.131,218.28,4
Bleached,Hard to Kill,47,0.725,0.695,,-6.934,1,0.0288,0.000697,0.00161,0.233,0.86,127.523,206.16,4
Dashboard Confessional,Hands Down,62,0.463,0.827,3,-4.085,1,0.0437,0.013,0.0000241,0.0964,0.26,94.035,186.867,4
Willie Dixon,I Can't Quit You Baby,50,0.469,0.236,7,-16.981,1,0.0364,0.407,0.0434,0.215,0.415,82.232,399.173,4
Battering Ram,Pieces,29,0.553,0.941,7,-5.312,1,0.073,0.000226,0.000465,0.127,0.5,108.735,222.155,3
Mannequin Pussy,Control,47,0.354,0.877,11,-4.817,1,0.065,0.00501,0.0245,0.348,0.388,129.879,195.13,4
Goldpark,Wild Love,,0.568,0.591,9,-6.323,1,0.035,0.000439,0.00366,0.0892,0.367,119.911,204.766,4
Fontaines D.C.,Big,45,0.5,0.947,4,-3.602,1,0.0452,0.044,,0.205,0.966,181.834,105.516,4
Gavin DeGraw,I Don't Want to Be,64,0.423,0.862,,-5.13,0,0.0695,0.00791,,0.133,0.462,154.746,217.76,4
Meek Mill,Otherside Of America,60,0.73,0.772,5,-3.883,0,0.316,0.0878,,0.401,0.403,147.053,218.103,4
Little Feat,Dixie Chicken - Live,30,0.488,0.674,9,-8.366,1,0.0497,0.225,0.00156,0.728,0.724,146.566,533.667,4
System Of A Down,Lonely Day,60,0.458,0.783,8,-3.226,0,0.0322,0.346,0.00000614,0.13,0.224,113.072,167.907,3
Alaska Reid,Mermaid Tears - Midnight,28,0.348,0.368,2,-11.761,1,0.046,0.843,0.00218,0.399,0.0488,140.122,200.571,4
Yuno,No Going Back,61,0.714,0.708,2,-5.524,0,0.027,0.0112,0.0141,0.0609,0.902,93.005,208.2,4
Nation of Language,The Wall & I,46,0.558,0.876,6,-5.625,1,0.0288,0.0244,0.293,0.0971,0.448,141.995,304.714,4
Middle Child,Burn Out,37,0.743,0.479,,-8.737,1,0.0757,0.581,0.0000323,0.11,0.29,139.954,231.125,4
Beach Bunny,Ms. California,51,0.582,0.859,4,-3.943,1,0.0399,0.000209,0.125,0.0841,0.61,121.968,172.037,4
Mae,Embers And Envelopes,46,0.554,0.82,7,-6.156,1,0.0486,0.114,0.00000187,0.204,0.372,120.893,258.107,3
HEALTH,ISN‚ÄôT EVERYONE,63,0.459,0.698,2,-8.079,0,0.051,0.0294,0.777,0.139,0.165,147.954,314.719,4
Ritchie Valens,"Come On, Let's Go",55,0.616,0.724,9,-8.101,1,0.042,0.788,0.00000316,0.128,0.809,81.402,0.00207645,3
King Gizzard & The Lizard Wizard,East West Link,50,0.461,0.75,,-8.688,0,0.0436,0.0243,0.451,0.116,0.798,166.019,188.786,4
Editors,An End Has A Start,54,0.349,0.923,6,-2.432,0,0.0539,0.0000195,0.111,0.336,0.535,149.904,225.533,4
JP Cooper,September Song - Guitar Acoustic,,0.41,0.428,,-7.927,0,0.0329,0.359,,0.138,0.526,88.361,0.00353588333,4
Mohammed Rafi,Zindagi To Bewafa Hai,24,0.269,0.342,,-8.632,0,0.0301,0.936,0.00000204,0.109,0.143,80.073,0.002689066667,4
Vijay Prakash,Tandanana - Brahmam Okate,17,0.414,0.585,1,-7.315,1,0.0879,0.768,,0.0897,0.742,168.025,0.005327783333,3
A. Nayaka,4OAK,45,0.753,0.761,5,-5.735,0,0.153,0.312,,0.077,0.805,147.05,182.857,4
Rage Against The Machine,Take The Power Back,60,0.62,0.912,1,-4.011,1,0.221,0.0728,0.0000715,0.249,0.291,106.236,336.44,4
Dana Williams,Worst In Me,33,0.586,0.332,,-12.445,1,0.0407,0.71,0.0421,0.0782,0.269,95.996,236.187,4
Embrace,All You Good Good People,48,0.232,0.719,11,-6.255,1,0.0428,0.000118,0.000226,0.119,0.323,165.906,366.267,4
Dream State,Primrose,50,0.449,0.92,11,-5.601,0,0.0837,0.00286,0.0000164,0.337,0.208,145.976,264.457,4
Charley Pride,Kiss an Angel Good Mornin',49,0.684,0.498,4,-10.836,1,0.03,0.708,,0.365,0.905,131.855,0.002052216667,4
Zero Theorem,Threat - Remix,,0.402,0.968,4,-3.42,0,0.0869,0.00369,0.0000112,0.219,0.337,176.048,208.542,4
Buddy Guy,She's Got The Devil In Her,33,0.441,0.9,8,-4.03,1,0.095,0.0109,0.462,0.253,0.465,119.141,310.729,3
Ekin Fil,The Reckoning,21,0.142,0.0664,7,-25.04,1,0.0467,0.871,0.942,0.102,0.0388,145.565,312,1
Keb' Mo',For Better or Worse,32,0.558,0.322,7,-11.802,1,0.0343,0.754,0.0017,0.11,0.286,73.868,205.107,4
The Lumineers,Ophelia,56,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,0.00266828333,4
Tommy Genesis,Tommy,51,0.716,0.855,1,-7.856,1,0.0488,0.00287,0.00593,0.268,0.377,138.008,162.481,4
Ziggy Marley,True To Myself,64,0.88,0.564,1,-6.431,1,0.0498,0.0786,,0.0565,0.83,99.019,225.6,4
What A Day - Edit,Ben Howard,20,0.663,0.434,7,-9.03,1,0.0278,0.539,0.0732,0.0906,0.593,136.018,0.004296216667,4
Dua Lipa,Break My Heart,82,0.73,0.729,4,-3.434,0,0.0883,0.167,0.00000139,0.349,0.467,113.013,221.82,4
Noah Cunane,F*CK ABOUT IT,49,0.364,0.936,9,-4.281,1,0.146,0.000626,0.0000025,0.427,0.579,180.191,100.608,4
LCD Soundsystem,Daft Punk Is Playing at My House,60,0.92,0.914,7,-4.555,1,0.0444,0.0222,0.0000762,0.114,0.974,135.923,314.557,4
Etti Ankri,◊®◊ï◊ê◊î ◊ú◊ö ◊ë◊¢◊ô◊†◊ô◊ô◊ù,32,0.543,0.323,9,-13.399,1,0.0266,0.0546,0.00000157,0.136,0.222,138.349,322,4
DEAR MOTHER,Satellite,41,0.469,0.86,1,-7.417,1,0.0591,0.0000395,0.0452,0.152,0.245,122.027,210.24,4
3d Blast,3rD BEST,32,0.377,0.773,4,-7.417,1,0.0732,0.0481,0.00263,0.87,0.548,119.883,242.817,4
Layla Zoe,Gemini Heart,37,0.469,0.445,10,-8.452,1,0.0286,0.682,0.000716,0.119,0.237,107.865,370.76,3
Westlife,Pictures In My Head,,0.647,0.677,,-4.108,1,0.0285,0.22,,0.105,0.436,109.955,0.004234883333,4
Novocaine,Codeine,24,0.333,0.88,4,-7.791,1,0.065,0.0023,0.00147,0.127,0.266,168.138,283.25,4
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight) - Live,36,0.364,0.776,,-9.849,1,0.0557,0.00979,0.00127,0.837,0.459,127.926,0.005580216667,4
Spank Rock,Bump - Switch Remix,16,0.777,0.693,1,-10.473,1,0.439,0.246,0.0139,0.249,0.485,126.005,447,4
Kenny Wayne Shepherd,Nothing But The Night,32,0.688,0.756,4,-6.046,0,0.0323,0.164,0.00267,0.121,0.883,110.981,293.507,4
Catfish and the Bottlemen,Pacifier,59,0.459,0.883,9,-4.1,1,0.0476,0.000491,0.0267,0.118,0.338,147.943,237.533,4
Emma-Jean Thackray,Say Something,44,0.419,0.608,10,-9.957,0,0.054,0.798,0.0476,0.129,0.341,125.144,229.5,1
Half Your Love,Bahamas,59,0.73,0.249,9,-9.888,0,0.0344,0.886,,0.096,0.332,132.007,0.002403116667,4
Faster Pussycat,Nola,,0.519,0.917,,-5.691,1,0.0554,0.00609,0.000302,0.288,0.627,150.014,237.707,4
Moonspell,Alma Mater,45,0.235,0.867,9,-6.408,0,0.0647,0.000133,0.000938,0.0758,0.305,142.939,337.307,3
Pantera,Immortally Insane,40,0.352,0.915,8,-3.727,1,0.0586,0.0000413,0.000488,0.208,0.264,82.589,311.083,4
The Smithereens,A Girl Like You,52,0.657,0.828,1,-9.344,1,0.0283,0.0892,,0.0575,0.908,123.799,282.867,4
Sam Tompkins,Charlie,49,0.786,0.321,2,-8.452,1,0.0807,0.711,,0.114,0.658,87.99,201.818,4
Chromeo,Fancy Footwork,48,0.686,0.902,5,-3.154,0,0.0304,0.00575,0.0427,0.125,0.648,129.971,198.02,4
Papa Roach,Last Resort,81,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,199.907,4
alt-J,Breezeblocks,73,0.611,0.643,5,-7.372,1,0.037,0.117,0.00101,0.131,0.258,74.991,227.08,4
Helstar,Dark Incarnation (Mother of the Night),20,0.319,0.945,4,-5.512,0,0.0677,0.000128,0.00101,0.381,0.104,124.944,372.333,4
Mavis Staples,No Time For Cryin' - Live,36,0.756,0.875,7,-7.132,1,0.0743,0.35,0.00928,0.686,0.753,115.257,322.022,4
Billy Ocean,"Get Outta My Dreams, Get into My Car",63,0.666,0.91,4,-6.457,1,0.0399,0.0874,0.00000841,0.336,0.919,117.14,284.373,4
Madness,Our House,66,0.589,0.715,,-6.073,1,0.0401,0.0884,0.00105,0.0559,0.806,120.999,203.12,4
Islands,Hallways,40,0.681,0.735,10,-6.984,1,0.0332,0.343,0.00521,0.351,0.725,106.085,173.68,4
Jelani Aryeh,Stella Brown,66,0.724,0.48,2,-7.537,1,0.0342,0.211,0.0772,0.289,0.591,125.007,187.415,4
Nick Jonas,Selfish,66,0.65,0.714,11,-5.933,1,0.0274,0.124,,0.095,0.427,132.009,187.856,4
Selda Baƒücan,Tatlƒ± Dillim,45,0.559,0.325,9,-9.582,1,0.0385,0.987,0.00172,0.131,0.496,98.535,120.686,4
Akhlys,Somniloquy,37,0.276,0.938,,-6.351,1,0.124,0.00000347,0.894,0.585,0.0323,179.923,517.746,3
